name,longitude,latitude
obs_98,-94.20056,38.53499
obs_99,-106.33885,31.29949
obs_100,-104.03436,44.35575
obs_101,-92.44668,33.21888
obs_102,-83.16321,37.02811
obs_103,-106.11209,31.81228
obs_104,-83.36788,36.84189
obs_105,-124.50250,44.12454
obs_106,-85.06154,38.84117
obs_107,-85.12120,22.37361
obs_108,-101.76875,44.47531
obs_109,-84.95769,33.21398
obs_110,-89.15769,35.77258
obs_111,-95.83900,35.92302
obs_112,-93.39400,37.79440
obs_113,-81.69556,37.21679
obs_114,-94.31097,36.39325
obs_115,-81.58739,37.10642
obs_116,-87.00240,23.24224
obs_117,-90.57540,38.01442
obs_118,-81.40003,36.66013
obs_119,-103.30266,43.06563
obs_120,-86.18089,20.00311
obs_121,-87.50122,19.27579
obs_122,-83.94069,36.59543
obs_123,-104.09632,44.91438
obs_124,-91.02442,38.34190
obs_125,-107.81524,30.70335
obs_126,-103.16425,43.35512
obs_127,-107.52935,34.23899
obs_128,-81.01398,37.64498
obs_129,-83.32656,35.82070
obs_130,-88.12382,19.18470
obs_131,-104.17925,42.78028
obs_132,-87.63499,20.93550
obs_133,-122.67507,41.93958
obs_134,-84.36987,36.67461
obs_135,-105.46125,30.89117
obs_136,-91.09350,35.33234
obs_137,-82.93751,36.63242
obs_138,-122.41318,45.24314
obs_139,-106.70278,34.92290
obs_140,-91.33683,35.87936
obs_141,-88.34609,21.58203
obs_142,-105.06419,42.90642
obs_143,-120.20733,47.22965
obs_144,-106.32914,32.26763
obs_145,-83.81953,35.51714
obs_146,-90.87052,38.95601
obs_147,-91.43188,35.58354
obs_148,-87.03348,18.50254
obs_149,-102.91473,43.11153
obs_150,-92.69280,35.82728
obs_151,-104.93057,44.22246
obs_152,-83.62730,37.40334
obs_153,-83.54750,38.82553
obs_154,-120.87834,44.44346
obs_155,-83.51333,38.16034
obs_156,-121.61536,44.95328
obs_157,-102.08260,42.97766
obs_158,-91.31499,36.19228
obs_159,-121.31759,48.49429
obs_160,-93.14281,37.82718
obs_161,-106.74912,33.89972
obs_162,-108.53081,42.09604
obs_163,-105.42595,44.76873
obs_164,-105.24380,42.77701
obs_165,-90.85728,38.93988
obs_166,-87.86119,19.63563
obs_167,-93.33239,35.94618
obs_168,-120.93271,43.34798
obs_169,-83.59056,35.99469
obs_170,-86.22549,23.39380
obs_171,-122.22163,42.80983
obs_172,-123.19158,44.47594
obs_173,-86.64232,19.84451
obs_174,-104.19821,29.74219
obs_175,-102.97181,44.86712
obs_176,-89.62094,37.39934
obs_177,-83.27599,33.51560
obs_178,-119.67560,46.24257
obs_179,-84.66121,38.33943
obs_180,-120.92056,43.47008
obs_181,-92.34435,38.31600
obs_182,-107.38029,43.30967
obs_183,-89.78258,20.44754
obs_184,-105.79237,43.73759
obs_185,-86.49260,19.88835
obs_186,-90.21535,19.20801
obs_187,-87.93446,22.35611
obs_188,-92.17686,35.98743
obs_189,-86.62174,22.58860
obs_190,-93.09745,35.39618
obs_191,-105.62925,43.28952
obs_192,-104.73252,43.90854
obs_193,-94.91458,37.27440
obs_194,-85.26418,18.52626
obs_195,-103.38248,32.11546
obs_196,-84.04857,21.36463
obs_197,-89.01663,22.87320
obs_198,-105.97990,32.90325
obs_199,-92.51714,35.42346
obs_200,-92.00755,35.45862
obs_201,-83.02885,38.24444
obs_202,-88.91735,20.37218
obs_203,-123.14035,46.48197
obs_204,-102.33756,41.81660
obs_205,-81.23776,35.92119
obs_206,-87.71427,37.43364
obs_207,-107.67921,41.62178
obs_208,-107.47322,28.89243
obs_209,-87.53723,35.63408
obs_210,-83.63325,38.29185
obs_211,-122.20822,44.36185
obs_212,-105.10488,31.83664
obs_213,-82.53091,37.19683
obs_214,-120.27986,44.02908
obs_215,-93.34901,36.17082
obs_216,-86.47900,22.06191
obs_217,-83.85003,37.10302
obs_218,-104.89102,31.00437
obs_219,-106.11720,34.02757
obs_220,-81.30422,38.19973
obs_221,-106.29557,34.79184
obs_222,-104.49935,44.26856
obs_223,-91.61603,35.86936
obs_224,-82.21055,36.93764
obs_225,-105.43312,44.06145
obs_226,-106.00468,43.29794
obs_227,-103.94763,32.04524
obs_228,-87.48024,20.46278
obs_229,-105.71852,32.67943
obs_230,-102.76486,41.86061
obs_231,-84.86184,35.26670
obs_232,-90.34844,34.99782
obs_233,-104.91824,42.50457
obs_234,-87.42813,19.31103
obs_235,-87.76757,21.33847
obs_236,-105.95442,30.61486
obs_237,-84.39753,34.54761
obs_238,-93.19358,36.51217
obs_239,-95.40997,37.91986
obs_240,-89.88965,37.18253
obs_241,-104.13975,42.76231
obs_242,-91.13114,36.20287
obs_243,-102.00862,44.21475
obs_244,-120.39248,46.25526
obs_245,-108.24960,45.24039
obs_246,-92.56505,34.81779
obs_247,-103.35973,42.17765
obs_248,-84.76356,36.12498
obs_249,-86.74514,18.31722
obs_250,-105.86587,32.18175
obs_251,-84.25881,37.11143
obs_252,-105.04532,32.34423
obs_253,-86.40589,20.61110
obs_254,-84.51752,33.87011
obs_255,-106.72656,46.48007
obs_256,-92.78431,34.83865
obs_257,-109.16699,30.08727
obs_258,-105.53234,33.19830
obs_259,-87.01973,19.63207
obs_260,-104.44718,42.14945
